Company Name,Sanctions Program,Country,Risk Details
AEROCARIBBEAN AIRLINES,CUBA,CUBA,
"ANGLO-CARIBBEAN CO., LTD.",CUBA,CUBA,
BANCO NACIONAL DE CUBA,CUBA,CUBA,a.k.a. 'BNC'.
BOUTIQUE LA MAISON,CUBA,CUBA,
CASA DE CUBA,CUBA,CUBA,
"CECOEX, S.A.",CUBA,CUBA,
CIMEX,CUBA,CUBA,
CIMEX IBERICA,CUBA,CUBA,
"CIMEX, S.A.",CUBA,CUBA,
"COMERCIAL IBEROAMERICANA, S.A.",CUBA,CUBA,
"COMERCIAL CIMEX, S.A.",CUBA,CUBA,
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CUBA,CUBA,
COMERCIALIZACION DE PRODUCTOS VARIOS,CUBA,CUBA,
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,CUBA,CUBA,
"CORPORACION CIMEX, S.A.",CUBA,CUBA,
COTEI,CUBA,CUBA,
"CRYMSA - ARGENTINA, S.A.",CUBA,CUBA,
CUBACANCUN CIGARS AND GIFT SHOPS,CUBA,CUBA,
CUBAEXPORT,CUBA,CUBA,
CUBAFRUTAS,CUBA,CUBA,
CUBAN CIGARS TRADE,CUBA,CUBA,
CUBANATUR,CUBA,CUBA,
CUBATABACO,CUBA,CUBA,
"CUMEXINT, S.A.",CUBA,CUBA,
"DELVEST HOLDING, S.A.",CUBA,CUBA,
EDICIONES CUBANAS,CUBA,CUBA,
"EDYJU, S.A.",CUBA,CUBA,
EMPRESA CUBANA DE AVIACION,CUBA,CUBA,
EMPRESA CUBANA DE PESCADOS Y MARISCOS,CUBA,CUBA,a.k.a. 'CARIBEX'.
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,CUBA,CUBA,
ETCO INTERNATIONAL COMMODITIES LTD.,CUBA,CUBA,
"ETCO INTERNATIONAL COMPANY, LIMITED",CUBA,CUBA,
"GALAX TRADING CO., LTD.",CUBA,CUBA,
HAVIN BANK LIMITED,CUBA,United Kingdom,SWIFT/BIC HAVIGB2L; Website www.havanaintbank.co.uk; alt. Website www.hib.uk.com; Company Number 01074897 (United Kingdom).
HAVANATUR,CUBA,CUBA,
INSTITUTO NACIONAL DE TURISMO DE CUBA,CUBA,CUBA,
INTERCONSULT,CUBA,CUBA,
"KAVE, S.A.",CUBA,CUBA,
LA EMPRESA CUBANA DE FLETES,CUBA,CUBA,
"LEVERAGE, S.A.",CUBA,CUBA,
NIREF,CUBA,CUBA,
NORDSTRAND LTD.,CUBA,CUBA,
NORDSTRAND MARITIME AND TRADING COMPANY,CUBA,CUBA,
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,CUBA,CUBA,
"PESCABRAVA, S.A.",CUBA,CUBA,
PRELASA,CUBA,CUBA,
PRENSA LATINA CANADA LTD.,CUBA,CUBA,
PRENSA LATINA,CUBA,CUBA,
"SERVINAVES, S.A.",CUBA,CUBA,
"TROBER, S.A.",CUBA,CUBA,
TROPIC TOURS GMBH,CUBA,CUBA,
"VIAJES GUAMA, S.A.",CUBA,CUBA,
VINALES TOURS,CUBA,CUBA,
COBALT REFINERY CO. INC.,CUBA,CUBA,
LA COMPANIA GENERAL DE NIQUEL,CUBA,CUBA,
INTERNATIONAL COBALT CO. INC.,CUBA,CUBA,
MOA NICKEL SA,CUBA,CUBA,
BANK MARKAZI JOMHOURI ISLAMI IRAN,IRAN] [SDGT] [IRGC] [IFSR,,"Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Linked To: ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE; Linked To: HIZBALLAH."
BANK MASKAN,IRAN] [IRAN-EO13902,,Website www.bank-maskan.ir; Additional Sanctions Information - Subject to Secondary Sanctions; all offices worldwide.
BANK REFAH KARGARAN,IRAN] [IRAN-EO13902,,Website www.bankrefah.ir; alt. Website www.refah-bank.ir; Additional Sanctions Information - Subject to Secondary Sanctions; all offices worldwide.
BANK KESHAVARZI IRAN,IRAN] [IRAN-EO13902,,Website www.agri-bank.com; alt. Website www.bki.ir; Additional Sanctions Information - Subject to Secondary Sanctions; all offices worldwide.
BANK SADERAT PLC,IRAN] [SDGT] [IFSR,United Kingdom,"Additional Sanctions Information - Subject to Secondary Sanctions; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; UK Company Number 01126618 (United Kingdom); all offices worldwide."
ABU SAYYAF GROUP,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
ARMED ISLAMIC GROUP,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'GIA'."
AUM SHINRIKYO,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
